Year,Month,DayofWeek,HourRange,CountofCollisions,NoofFatalities,CountofInjuryCollsn,CountOfPedestrianCollsn,CountofFatalityCollsn
2014,August,Wednesday,Early Morning,4,0,3,0,0
2014,August,Wednesday,Evening,112,0,19,5,0
2014,August,Wednesday,Late Afternoon,163,1,25,4,1
2014,August,Wednesday,Late Night,13,0,1,0,0
2014,August,Wednesday,Mid Morning,124,0,19,4,0
2014,August,Wednesday,Morning Rush,80,0,13,2,0
2014,August,Wednesday,Night,46,0,12,1,0
2014,December,Friday,Early Afternoon,187,1,25,10,1
2014,December,Friday,Early Morning,6,0,0,0,0
2014,December,Friday,Evening,106,1,15,9,1
2014,December,Friday,Late Afternoon,198,1,24,6,1
2014,December,Friday,Late Night,20,0,6,1,0
2014,December,Friday,Mid Morning,112,0,11,1,0
2014,December,Friday,Morning Rush,83,0,8,4,0
2014,December,Friday,Night,56,0,11,2,0
2014,December,Monday,Early Afternoon,181,0,19,6,0
2014,December,Monday,Early Morning,10,0,2,1,0
2014,December,Monday,Evening,144,0,27,8,0
2014,December,Monday,Late Afternoon,247,0,33,8,0
2014,December,Monday,Late Night,14,0,3,1,0
2014,December,Monday,Mid Morning,146,0,6,0,0
2014,December,Monday,Morning Rush,95,0,12,1,0
2014,December,Monday,Night,45,0,8,2,0
2014,December,Saturday,Early Afternoon,162,0,18,5,0
2014,December,Saturday,Early Morning,19,0,6,2,0
2014,December,Saturday,Evening,108,0,15,6,0
2014,December,Saturday,Late Afternoon,150,0,19,2,0
2014,December,Saturday,Late Night,35,0,4,2,0
2014,December,Saturday,Mid Morning,85,0,19,5,0
2014,December,Saturday,Morning Rush,16,0,3,0,0
2014,December,Saturday,Night,49,0,9,4,0
2014,December,Sunday,Early Afternoon,110,0,14,3,0
2014,December,Sunday,Early Morning,23,0,2,1,0
2014,December,Sunday,Evening,83,1,12,6,1
2014,December,Sunday,Late Afternoon,115,0,14,3,0
2014,December,Sunday,Late Night,26,0,6,1,0
2014,December,Sunday,Mid Morning,46,1,4,1,1
2014,December,Sunday,Morning Rush,11,0,3,0,0
2014,December,Sunday,Night,25,0,2,0,0
2014,December,Thursday,Early Afternoon,154,0,13,0,0
2014,December,Thursday,Early Morning,15,0,4,0,0
2014,December,Thursday,Evening,108,0,15,1,0
2014,December,Thursday,Late Afternoon,164,0,16,4,0
2014,December,Thursday,Late Night,14,0,4,1,0
2014,December,Thursday,Mid Morning,167,0,15,0,0
2014,December,Thursday,Morning Rush,144,1,10,2,1
2014,December,Thursday,Night,47,0,10,3,0
2014,December,Tuesday,Early Afternoon,177,0,32,4,0
2014,December,Tuesday,Early Morning,3,0,0,0,0
2014,December,Tuesday,Evening,213,0,44,24,0
2014,December,Tuesday,Late Afternoon,307,0,42,9,0
2014,December,Tuesday,Late Night,15,0,5,0,0
2014,December,Tuesday,Mid Morning,148,0,16,4,0
2014,December,Tuesday,Morning Rush,99,0,10,4,0
2014,December,Tuesday,Night,44,0,7,4,0
2014,December,Wednesday,Early Afternoon,236,0,36,12,0
2014,December,Wednesday,Early Morning,8,0,2,0,0
2014,December,Wednesday,Evening,145,0,25,10,0
2014,December,Wednesday,Late Afternoon,229,0,31,13,0
2014,December,Wednesday,Late Night,12,0,2,0,0
2014,December,Wednesday,Mid Morning,154,0,23,7,0
2014,December,Wednesday,Morning Rush,103,0,15,5,0
2014,December,Wednesday,Night,63,0,13,6,0
