
,,,,Measures,"Number of collisions","Number of vehicles","Number of injured","Number of fatalities"
"Month","Year","Day of Week","Collision Hour","Collision Sev",
"January","2010","Friday","6:00 to 8:59","Injury collisions",241,403,293,0
"January","2010","Friday","9:00 to 11:59","Fatal collisions",3,4,1,3
"January","2010","Friday","9:00 to 11:59","Injury collisions",222,388,276,0
"January","2010","Friday","12:00 to 14:59","Fatal collisions",5,8,30,5
"January","2010","Friday","12:00 to 14:59","Injury collisions",300,562,427,0
"January","2010","Friday","15:00 to 17:59","Fatal collisions",0,0,0,0
"January","2010","Friday","15:00 to 17:59","Injury collisions",394,730,542,0
"January","2010","Friday","18:00 to 20:59","Fatal collisions",8,11,4,9
"January","2010","Friday","18:00 to 20:59","Injury collisions",269,472,378,0
"January","2010","Friday","21:00 to 23:59","Fatal collisions",2,2,2,3
"January","2010","Friday","21:00 to 23:59","Injury collisions",151,249,239,0
"January","2010","Saturday","Midnight to 2:59","Fatal collisions",2,2,0,2
"January","2010","Saturday","Midnight to 2:59","Injury collisions",101,155,147,0
"January","2010","Saturday","3:00 to 5:59","Fatal collisions",1,2,1,1
"January","2010","Saturday","3:00 to 5:59","Injury collisions",66,91,98,0
"January","2010","Saturday","6:00 to 8:59","Fatal collisions",3,5,2,4
"January","2010","Saturday","6:00 to 8:59","Injury collisions",85,123,118,0
"January","2010","Saturday","9:00 to 11:59","Fatal collisions",2,3,2,3
"January","2010","Saturday","9:00 to 11:59","Injury collisions",230,394,298,0
"January","2010","Saturday","12:00 to 14:59","Fatal collisions",0,0,0,0
"January","2010","Saturday","12:00 to 14:59","Injury collisions",323,604,453,0
"January","2010","Saturday","15:00 to 17:59","Fatal collisions",1,2,0,1
"January","2010","Saturday","15:00 to 17:59","Injury collisions",286,512,420,0
"January","2010","Saturday","18:00 to 20:59","Fatal collisions",5,10,0,5
"January","2010","Saturday","18:00 to 20:59","Injury collisions",199,366,324,0
"January","2010","Saturday","21:00 to 23:59","Fatal collisions",1,2,1,1
"January","2010","Saturday","21:00 to 23:59","Injury collisions",117,196,187,0
"January","2010","Sunday","Midnight to 2:59","Fatal collisions",6,6,4,6
"January","2010","Sunday","Midnight to 2:59","Injury collisions",86,119,132,0
"January","2010","Sunday","3:00 to 5:59","Fatal collisions",1,2,1,1
"January","2010","Sunday","3:00 to 5:59","Injury collisions",85,126,116,0
"January","2010","Sunday","6:00 to 8:59","Fatal collisions",3,5,0,3
"January","2010","Sunday","6:00 to 8:59","Injury collisions",68,106,95,0
"January","2010","Sunday","9:00 to 11:59","Fatal collisions",1,1,0,1
"January","2010","Sunday","9:00 to 11:59","Injury collisions",138,244,186,0
"January","2010","Sunday","12:00 to 14:59","Fatal collisions",1,2,0,1
"January","2010","Sunday","12:00 to 14:59","Injury collisions",231,396,324,0
"January","2010","Sunday","15:00 to 17:59","Fatal collisions",5,10,7,6
"January","2010","Sunday","15:00 to 17:59","Injury collisions",234,431,337,0
"January","2010","Sunday","18:00 to 20:59","Fatal collisions",5,11,7,5
"January","2010","Sunday","18:00 to 20:59","Injury collisions",187,314,300,0
"January","2010","Sunday","21:00 to 23:59","Fatal collisions",5,9,6,6
"January","2010","Sunday","21:00 to 23:59","Injury collisions",127,190,183,0
"January","2010","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"January","2010","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"January","2010","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"January","2010","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"January","2010","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"January","2010","Unknown","6:00 to 8:59","Injury collisions",1,1,1,0
"January","2010","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"January","2010","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"January","2010","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"January","2010","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"January","2010","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"January","2010","Unknown","15:00 to 17:59","Injury collisions",0,0,0,0
"January","2010","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"January","2010","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"January","2010","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"January","2010","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"January","2011","Total","Midnight to 2:59","Fatal collisions",7,10,5,7
"January","2011","Total","Midnight to 2:59","Injury collisions",406,594,545,0
"January","2011","Total","3:00 to 5:59","Fatal collisions",12,16,5,12
"January","2011","Total","3:00 to 5:59","Injury collisions",334,483,454,0
"January","2011","Total","6:00 to 8:59","Fatal collisions",16,28,15,16
"January","2011","Total","6:00 to 8:59","Injury collisions",1544,2730,1986,0
"January","2011","Total","9:00 to 11:59","Fatal collisions",14,62,24,15
"January","2011","Total","9:00 to 11:59","Injury collisions",1792,3129,2387,0
"January","2011","Total","12:00 to 14:59","Fatal collisions",21,52,41,26
"January","2011","Total","12:00 to 14:59","Injury collisions",2100,3898,2881,0
"January","2011","Total","15:00 to 17:59","Fatal collisions",20,35,18,25
"January","2011","Total","15:00 to 17:59","Injury collisions",2381,4458,3292,0
"January","2011","Total","18:00 to 20:59","Fatal collisions",20,34,18,22
"January","2011","Total","18:00 to 20:59","Injury collisions",1544,2677,2135,0
"January","2011","Total","21:00 to 23:59","Fatal collisions",7,13,8,7
"January","2011","Total","21:00 to 23:59","Injury collisions",719,1136,1031,0
"January","2011","Monday","Midnight to 2:59","Fatal collisions",0,0,0,0
"January","2011","Monday","Midnight to 2:59","Injury collisions",29,42,33,0
"January","2011","Monday","3:00 to 5:59","Fatal collisions",1,1,0,1
"January","2011","Monday","3:00 to 5:59","Injury collisions",32,49,46,0
"January","2011","Monday","6:00 to 8:59","Fatal collisions",1,1,3,1
"January","2011","Monday","6:00 to 8:59","Injury collisions",337,617,434,0
"January","2011","Monday","9:00 to 11:59","Fatal collisions",1,2,2,1
"January","2011","Monday","9:00 to 11:59","Injury collisions",318,581,395,0
"January","2011","Monday","12:00 to 14:59","Fatal collisions",1,1,0,1
"January","2011","Monday","12:00 to 14:59","Injury collisions",318,573,408,0
"January","2011","Monday","15:00 to 17:59","Fatal collisions",2,3,0,3
"January","2011","Monday","15:00 to 17:59","Injury collisions",382,731,524,0
"January","2011","Monday","18:00 to 20:59","Fatal collisions",3,5,3,5
"January","2011","Monday","18:00 to 20:59","Injury collisions",211,376,278,0
"January","2011","Monday","21:00 to 23:59","Fatal collisions",0,0,0,0
"January","2011","Monday","21:00 to 23:59","Injury collisions",79,125,107,0
"January","2011","Tuesday","Midnight to 2:59","Fatal collisions",0,0,0,0
"January","2011","Tuesday","Midnight to 2:59","Injury collisions",18,26,23,0
"January","2011","Tuesday","3:00 to 5:59","Fatal collisions",2,4,1,2
"January","2011","Tuesday","3:00 to 5:59","Injury collisions",39,62,46,0
"January","2011","Tuesday","6:00 to 8:59","Fatal collisions",2,4,0,2
"January","2011","Tuesday","6:00 to 8:59","Injury collisions",272,492,346,0
