
,,,,Measures,"Number of collisions","Number of vehicles","Number of injured","Number of fatalities"
"Month","Year","Day of Week","Collision Hour","Collision Sev",
"April","2021","Total","9:00 to 11:59","Fatal collisions",12,21,11,12
"April","2021","Total","9:00 to 11:59","Injury collisions",632,1147,836,0
"April","2021","Total","12:00 to 14:59","Fatal collisions",16,32,12,16
"April","2021","Total","12:00 to 14:59","Injury collisions",1074,1961,1406,0
"April","2021","Total","15:00 to 17:59","Fatal collisions",23,36,9,23
"April","2021","Total","15:00 to 17:59","Injury collisions",1326,2504,1776,0
"April","2021","Total","18:00 to 20:59","Fatal collisions",16,23,6,17
"April","2021","Total","18:00 to 20:59","Injury collisions",688,1178,926,0
"April","2021","Total","21:00 to 23:59","Fatal collisions",11,18,10,11
"April","2021","Total","21:00 to 23:59","Injury collisions",342,524,434,0
"April","2021","Monday","Midnight to 2:59","Fatal collisions",1,1,1,1
"April","2021","Monday","Midnight to 2:59","Injury collisions",19,26,22,0
"April","2021","Monday","3:00 to 5:59","Fatal collisions",2,3,0,2
"April","2021","Monday","3:00 to 5:59","Injury collisions",16,18,19,0
"April","2021","Monday","6:00 to 8:59","Fatal collisions",2,2,0,2
"April","2021","Monday","6:00 to 8:59","Injury collisions",95,176,128,0
"April","2021","Monday","9:00 to 11:59","Fatal collisions",1,2,1,1
"April","2021","Monday","9:00 to 11:59","Injury collisions",69,126,89,0
"April","2021","Monday","12:00 to 14:59","Fatal collisions",0,0,0,0
"April","2021","Monday","12:00 to 14:59","Injury collisions",125,241,171,0
"April","2021","Monday","15:00 to 17:59","Fatal collisions",1,1,0,1
"April","2021","Monday","15:00 to 17:59","Injury collisions",175,323,232,0
"April","2021","Monday","18:00 to 20:59","Fatal collisions",2,4,1,3
"April","2021","Monday","18:00 to 20:59","Injury collisions",77,125,108,0
"April","2021","Monday","21:00 to 23:59","Fatal collisions",1,1,0,1
"April","2021","Monday","21:00 to 23:59","Injury collisions",38,54,50,0
"April","2021","Tuesday","Midnight to 2:59","Fatal collisions",2,3,1,2
"April","2021","Tuesday","Midnight to 2:59","Injury collisions",8,12,9,0
"April","2021","Tuesday","3:00 to 5:59","Fatal collisions",0,0,0,0
"April","2021","Tuesday","3:00 to 5:59","Injury collisions",21,25,25,0
"April","2021","Tuesday","6:00 to 8:59","Fatal collisions",0,0,0,0
"April","2021","Tuesday","6:00 to 8:59","Injury collisions",109,203,154,0
"April","2021","Tuesday","9:00 to 11:59","Fatal collisions",1,1,1,1
"April","2021","Tuesday","9:00 to 11:59","Injury collisions",93,164,108,0
"April","2021","Tuesday","12:00 to 14:59","Fatal collisions",3,7,1,3
"April","2021","Tuesday","12:00 to 14:59","Injury collisions",160,287,203,0
"April","2021","Tuesday","15:00 to 17:59","Fatal collisions",4,5,2,4
"April","2021","Tuesday","15:00 to 17:59","Injury collisions",198,400,258,0
"April","2021","Tuesday","18:00 to 20:59","Fatal collisions",6,8,2,6
"April","2021","Tuesday","18:00 to 20:59","Injury collisions",100,172,129,0
"April","2021","Tuesday","21:00 to 23:59","Fatal collisions",1,1,0,1
"April","2021","Tuesday","21:00 to 23:59","Injury collisions",49,77,61,0
"April","2021","Wednesday","Midnight to 2:59","Fatal collisions",0,0,0,0
"April","2021","Wednesday","Midnight to 2:59","Injury collisions",8,11,9,0
"April","2021","Wednesday","3:00 to 5:59","Fatal collisions",0,0,0,0
"April","2021","Wednesday","3:00 to 5:59","Injury collisions",17,21,18,0
"April","2021","Wednesday","6:00 to 8:59","Fatal collisions",0,0,0,0
"April","2021","Wednesday","6:00 to 8:59","Injury collisions",91,174,114,0
"April","2021","Wednesday","9:00 to 11:59","Fatal collisions",2,5,3,2
"April","2021","Wednesday","9:00 to 11:59","Injury collisions",95,170,136,0
"April","2021","Wednesday","12:00 to 14:59","Fatal collisions",1,2,0,1
"April","2021","Wednesday","12:00 to 14:59","Injury collisions",146,267,185,0
"April","2021","Wednesday","15:00 to 17:59","Fatal collisions",4,6,2,4
"April","2021","Wednesday","15:00 to 17:59","Injury collisions",201,393,258,0
"April","2021","Wednesday","18:00 to 20:59","Fatal collisions",2,2,1,2
"April","2021","Wednesday","18:00 to 20:59","Injury collisions",97,168,124,0
"April","2021","Wednesday","21:00 to 23:59","Fatal collisions",2,4,5,2
"April","2021","Wednesday","21:00 to 23:59","Injury collisions",42,66,47,0
"April","2021","Thursday","Midnight to 2:59","Fatal collisions",0,0,0,0
"April","2021","Thursday","Midnight to 2:59","Injury collisions",22,33,28,0
"April","2021","Thursday","3:00 to 5:59","Fatal collisions",3,6,2,3
"April","2021","Thursday","3:00 to 5:59","Injury collisions",25,37,31,0
"April","2021","Thursday","6:00 to 8:59","Fatal collisions",2,2,0,2
"April","2021","Thursday","6:00 to 8:59","Injury collisions",141,247,185,0
"April","2021","Thursday","9:00 to 11:59","Fatal collisions",4,7,4,4
"April","2021","Thursday","9:00 to 11:59","Injury collisions",126,225,168,0
"April","2021","Thursday","12:00 to 14:59","Fatal collisions",5,10,3,5
"April","2021","Thursday","12:00 to 14:59","Injury collisions",180,327,239,0
"April","2021","Thursday","15:00 to 17:59","Fatal collisions",2,3,0,2
"April","2021","Thursday","15:00 to 17:59","Injury collisions",254,476,345,0
"April","2021","Thursday","18:00 to 20:59","Fatal collisions",1,2,1,1
"April","2021","Thursday","18:00 to 20:59","Injury collisions",118,217,169,0
"April","2021","Thursday","21:00 to 23:59","Fatal collisions",1,1,0,1
"April","2021","Thursday","21:00 to 23:59","Injury collisions",60,94,73,0
"April","2021","Friday","Midnight to 2:59","Fatal collisions",0,0,0,0
"April","2021","Friday","Midnight to 2:59","Injury collisions",23,34,28,0
"April","2021","Friday","3:00 to 5:59","Fatal collisions",0,0,0,0
"April","2021","Friday","3:00 to 5:59","Injury collisions",26,40,32,0
"April","2021","Friday","6:00 to 8:59","Fatal collisions",1,1,1,1
"April","2021","Friday","6:00 to 8:59","Injury collisions",103,180,133,0
"April","2021","Friday","9:00 to 11:59","Fatal collisions",1,2,1,1
"April","2021","Friday","9:00 to 11:59","Injury collisions",113,216,146,0
"April","2021","Friday","12:00 to 14:59","Fatal collisions",4,7,4,4
"April","2021","Friday","12:00 to 14:59","Injury collisions",191,355,243,0
"April","2021","Friday","15:00 to 17:59","Fatal collisions",3,4,0,3
"April","2021","Friday","15:00 to 17:59","Injury collisions",243,455,338,0
"April","2021","Friday","18:00 to 20:59","Fatal collisions",2,3,0,2
"April","2021","Friday","18:00 to 20:59","Injury collisions",137,234,173,0
"April","2021","Friday","21:00 to 23:59","Fatal collisions",2,5,3,2
"April","2021","Friday","21:00 to 23:59","Injury collisions",55,84,71,0
"April","2021","Saturday","Midnight to 2:59","Fatal collisions",1,1,0,1
"April","2021","Saturday","Midnight to 2:59","Injury collisions",19,26,24,0
"April","2021","Saturday","3:00 to 5:59","Fatal collisions",1,1,0,1
"April","2021","Saturday","3:00 to 5:59","Injury collisions",20,26,24,0
"April","2021","Saturday","6:00 to 8:59","Fatal collisions",0,0,0,0
"April","2021","Saturday","6:00 to 8:59","Injury collisions",41,65,50,0
"April","2021","Saturday","9:00 to 11:59","Fatal collisions",3,4,1,3
"April","2021","Saturday","9:00 to 11:59","Injury collisions",85,159,112,0
"April","2021","Saturday","12:00 to 14:59","Fatal collisions",2,5,4,2
"April","2021","Saturday","12:00 to 14:59","Injury collisions",158,278,203,0
"April","2021","Saturday","15:00 to 17:59","Fatal collisions",6,11,4,6
"April","2021","Saturday","15:00 to 17:59","Injury collisions",151,274,204,0
"April","2021","Saturday","18:00 to 20:59","Fatal collisions",1,2,1,1
"April","2021","Saturday","18:00 to 20:59","Injury collisions",77,134,110,0
"April","2021","Saturday","21:00 to 23:59","Fatal collisions",4,6,2,4
"April","2021","Saturday","21:00 to 23:59","Injury collisions",57,86,71,0
"April","2021","Sunday","Midnight to 2:59","Fatal collisions",2,3,0,2
"April","2021","Sunday","Midnight to 2:59","Injury collisions",30,40,39,0
"April","2021","Sunday","3:00 to 5:59","Fatal collisions",0,0,0,0
"April","2021","Sunday","3:00 to 5:59","Injury collisions",17,26,21,0
"April","2021","Sunday","6:00 to 8:59","Fatal collisions",1,2,0,1
"April","2021","Sunday","6:00 to 8:59","Injury collisions",23,38,28,0
"April","2021","Sunday","9:00 to 11:59","Fatal collisions",0,0,0,0
"April","2021","Sunday","9:00 to 11:59","Injury collisions",51,87,77,0
"April","2021","Sunday","12:00 to 14:59","Fatal collisions",1,1,0,1
"April","2021","Sunday","12:00 to 14:59","Injury collisions",114,206,162,0
"April","2021","Sunday","15:00 to 17:59","Fatal collisions",3,6,1,3
"April","2021","Sunday","15:00 to 17:59","Injury collisions",104,183,141,0
"April","2021","Sunday","18:00 to 20:59","Fatal collisions",2,2,0,2
"April","2021","Sunday","18:00 to 20:59","Injury collisions",82,128,113,0
"April","2021","Sunday","21:00 to 23:59","Fatal collisions",0,0,0,0
"April","2021","Sunday","21:00 to 23:59","Injury collisions",41,63,61,0
"April","2021","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"April","2021","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"April","2021","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"April","2021","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"April","2021","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"April","2021","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"April","2021","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"April","2021","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"April","2021","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"April","2021","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"April","2021","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"April","2021","Unknown","15:00 to 17:59","Injury collisions",0,0,0,0
"April","2021","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"April","2021","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"April","2021","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"April","2021","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"May","2010","Total","Midnight to 2:59","Fatal collisions",11,13,9,11
"May","2010","Total","Midnight to 2:59","Injury collisions",477,655,664,0
"May","2010","Total","3:00 to 5:59","Fatal collisions",12,17,6,15
"May","2010","Total","3:00 to 5:59","Injury collisions",323,432,425,0
"May","2010","Total","6:00 to 8:59","Fatal collisions",13,19,11,14
"May","2010","Total","6:00 to 8:59","Injury collisions",1132,2103,1497,0
"May","2010","Total","9:00 to 11:59","Fatal collisions",19,32,11,21
"May","2010","Total","9:00 to 11:59","Injury collisions",1358,2530,1821,0
"May","2010","Total","12:00 to 14:59","Fatal collisions",26,43,30,29
"May","2010","Total","12:00 to 14:59","Injury collisions",2014,3846,2822,0
"May","2010","Total","15:00 to 17:59","Fatal collisions",36,66,55,41
"May","2010","Total","15:00 to 17:59","Injury collisions",2668,5155,3686,0
"May","2010","Total","18:00 to 20:59","Fatal collisions",22,34,20,27
"May","2010","Total","18:00 to 20:59","Injury collisions",1359,2369,1935,0
"May","2010","Total","21:00 to 23:59","Fatal collisions",21,28,11,23
"May","2010","Total","21:00 to 23:59","Injury collisions",978,1612,1494,0
"May","2010","Monday","Midnight to 2:59","Fatal collisions",0,0,0,0
"May","2010","Monday","Midnight to 2:59","Injury collisions",58,76,78,0
"May","2010","Monday","3:00 to 5:59","Fatal collisions",0,0,0,0
"May","2010","Monday","3:00 to 5:59","Injury collisions",38,51,49,0
"May","2010","Monday","6:00 to 8:59","Fatal collisions",4,7,2,4
"May","2010","Monday","6:00 to 8:59","Injury collisions",222,418,285,0
"May","2010","Monday","9:00 to 11:59","Fatal collisions",4,5,1,4
"May","2010","Monday","9:00 to 11:59","Injury collisions",204,383,246,0
"May","2010","Monday","12:00 to 14:59","Fatal collisions",4,7,5,5
"May","2010","Monday","12:00 to 14:59","Injury collisions",289,538,385,0
"May","2010","Monday","15:00 to 17:59","Fatal collisions",10,19,20,11
"May","2010","Monday","15:00 to 17:59","Injury collisions",454,888,622,0
"May","2010","Monday","18:00 to 20:59","Fatal collisions",1,2,1,1
"May","2010","Monday","18:00 to 20:59","Injury collisions",202,343,288,0
"May","2010","Monday","21:00 to 23:59","Fatal collisions",3,4,5,4
"May","2010","Monday","21:00 to 23:59","Injury collisions",126,208,189,0
"May","2010","Tuesday","Midnight to 2:59","Fatal collisions",0,0,0,0
"May","2010","Tuesday","Midnight to 2:59","Injury collisions",25,36,36,0
"May","2010","Tuesday","3:00 to 5:59","Fatal collisions",1,1,0,1
"May","2010","Tuesday","3:00 to 5:59","Injury collisions",17,24,18,0
"May","2010","Tuesday","6:00 to 8:59","Fatal collisions",1,1,0,2
"May","2010","Tuesday","6:00 to 8:59","Injury collisions",196,375,254,0
"May","2010","Tuesday","9:00 to 11:59","Fatal collisions",4,6,2,4
"May","2010","Tuesday","9:00 to 11:59","Injury collisions",198,364,273,0
"May","2010","Tuesday","12:00 to 14:59","Fatal collisions",2,3,1,2
"May","2010","Tuesday","12:00 to 14:59","Injury collisions",234,452,310,0
"May","2010","Tuesday","15:00 to 17:59","Fatal collisions",6,10,8,6
"May","2010","Tuesday","15:00 to 17:59","Injury collisions",367,708,501,0
"May","2010","Tuesday","18:00 to 20:59","Fatal collisions",2,3,0,2
"May","2010","Tuesday","18:00 to 20:59","Injury collisions",179,319,231,0
"May","2010","Tuesday","21:00 to 23:59","Fatal collisions",1,1,0,1
"May","2010","Tuesday","21:00 to 23:59","Injury collisions",112,191,169,0
"May","2010","Wednesday","Midnight to 2:59","Fatal collisions",0,0,0,0
"May","2010","Wednesday","Midnight to 2:59","Injury collisions",30,39,46,0
"May","2010","Wednesday","3:00 to 5:59","Fatal collisions",1,1,0,1
"May","2010","Wednesday","3:00 to 5:59","Injury collisions",21,30,31,0
"May","2010","Wednesday","6:00 to 8:59","Fatal collisions",1,2,1,1
"May","2010","Wednesday","6:00 to 8:59","Injury collisions",200,390,265,0
"May","2010","Wednesday","9:00 to 11:59","Fatal collisions",1,2,0,1
"May","2010","Wednesday","9:00 to 11:59","Injury collisions",171,339,212,0
"May","2010","Wednesday","12:00 to 14:59","Fatal collisions",2,3,0,2
"May","2010","Wednesday","12:00 to 14:59","Injury collisions",250,474,320,0
"May","2010","Wednesday","15:00 to 17:59","Fatal collisions",2,4,3,2
"May","2010","Wednesday","15:00 to 17:59","Injury collisions",421,833,560,0
"May","2010","Wednesday","18:00 to 20:59","Fatal collisions",1,2,1,1
"May","2010","Wednesday","18:00 to 20:59","Injury collisions",213,373,297,0
"May","2010","Wednesday","21:00 to 23:59","Fatal collisions",4,5,0,4
"May","2010","Wednesday","21:00 to 23:59","Injury collisions",140,236,219,0
"May","2010","Thursday","Midnight to 2:59","Fatal collisions",1,1,1,1
"May","2010","Thursday","Midnight to 2:59","Injury collisions",44,63,63,0
"May","2010","Thursday","3:00 to 5:59","Fatal collisions",2,2,0,2
"May","2010","Thursday","3:00 to 5:59","Injury collisions",30,44,36,0
"May","2010","Thursday","6:00 to 8:59","Fatal collisions",0,0,0,0
"May","2010","Thursday","6:00 to 8:59","Injury collisions",187,360,243,0
"May","2010","Thursday","9:00 to 11:59","Fatal collisions",2,2,0,2
"May","2010","Thursday","9:00 to 11:59","Injury collisions",177,328,231,0
"May","2010","Thursday","12:00 to 14:59","Fatal collisions",3,5,3,3
"May","2010","Thursday","12:00 to 14:59","Injury collisions",261,483,350,0
"May","2010","Thursday","15:00 to 17:59","Fatal collisions",5,10,11,8
"May","2010","Thursday","15:00 to 17:59","Injury collisions",388,757,507,0
"May","2010","Thursday","18:00 to 20:59","Fatal collisions",4,7,4,4
"May","2010","Thursday","18:00 to 20:59","Injury collisions",196,354,279,0
"May","2010","Thursday","21:00 to 23:59","Fatal collisions",2,3,0,2
"May","2010","Thursday","21:00 to 23:59","Injury collisions",141,230,204,0
"May","2010","Friday","Midnight to 2:59","Fatal collisions",2,2,0,2
"May","2010","Friday","Midnight to 2:59","Injury collisions",63,89,81,0
"May","2010","Friday","3:00 to 5:59","Fatal collisions",1,3,1,1
"May","2010","Friday","3:00 to 5:59","Injury collisions",39,47,42,0
"May","2010","Friday","6:00 to 8:59","Fatal collisions",3,5,0,3
"May","2010","Friday","6:00 to 8:59","Injury collisions",164,309,211,0
"May","2010","Friday","9:00 to 11:59","Fatal collisions",4,11,5,6
"May","2010","Friday","9:00 to 11:59","Injury collisions",202,390,270,0
"May","2010","Friday","12:00 to 14:59","Fatal collisions",5,8,6,5
"May","2010","Friday","12:00 to 14:59","Injury collisions",327,638,473,0
"May","2010","Friday","15:00 to 17:59","Fatal collisions",2,4,1,3
"May","2010","Friday","15:00 to 17:59","Injury collisions",406,834,553,0
"May","2010","Friday","18:00 to 20:59","Fatal collisions",4,7,4,5
"May","2010","Friday","18:00 to 20:59","Injury collisions",191,343,265,0
"May","2010","Friday","21:00 to 23:59","Fatal collisions",2,2,1,2
"May","2010","Friday","21:00 to 23:59","Injury collisions",151,234,226,0
"May","2010","Saturday","Midnight to 2:59","Fatal collisions",4,6,3,4
"May","2010","Saturday","Midnight to 2:59","Injury collisions",131,178,188,0
"May","2010","Saturday","3:00 to 5:59","Fatal collisions",3,5,0,5
"May","2010","Saturday","3:00 to 5:59","Injury collisions",98,136,138,0
"May","2010","Saturday","6:00 to 8:59","Fatal collisions",3,3,8,3
"May","2010","Saturday","6:00 to 8:59","Injury collisions",87,139,135,0
"May","2010","Saturday","9:00 to 11:59","Fatal collisions",3,5,3,3
"May","2010","Saturday","9:00 to 11:59","Injury collisions",244,456,349,0
"May","2010","Saturday","12:00 to 14:59","Fatal collisions",4,8,5,5
"May","2010","Saturday","12:00 to 14:59","Injury collisions",334,664,513,0
"May","2010","Saturday","15:00 to 17:59","Fatal collisions",5,8,3,5
"May","2010","Saturday","15:00 to 17:59","Injury collisions",343,632,504,0
"May","2010","Saturday","18:00 to 20:59","Fatal collisions",6,8,7,9
"May","2010","Saturday","18:00 to 20:59","Injury collisions",187,314,266,0
"May","2010","Saturday","21:00 to 23:59","Fatal collisions",6,9,3,6
"May","2010","Saturday","21:00 to 23:59","Injury collisions",187,313,295,0
"May","2010","Sunday","Midnight to 2:59","Fatal collisions",4,4,5,4
"May","2010","Sunday","Midnight to 2:59","Injury collisions",126,174,172,0
"May","2010","Sunday","3:00 to 5:59","Fatal collisions",4,5,5,5
"May","2010","Sunday","3:00 to 5:59","Injury collisions",80,100,111,0
"May","2010","Sunday","6:00 to 8:59","Fatal collisions",1,1,0,1
"May","2010","Sunday","6:00 to 8:59","Injury collisions",76,112,104,0
"May","2010","Sunday","9:00 to 11:59","Fatal collisions",1,1,0,1
"May","2010","Sunday","9:00 to 11:59","Injury collisions",162,270,240,0
"May","2010","Sunday","12:00 to 14:59","Fatal collisions",6,9,10,7
"May","2010","Sunday","12:00 to 14:59","Injury collisions",318,595,469,0
"May","2010","Sunday","15:00 to 17:59","Fatal collisions",6,11,9,6
"May","2010","Sunday","15:00 to 17:59","Injury collisions",289,503,439,0
"May","2010","Sunday","18:00 to 20:59","Fatal collisions",4,5,3,5
"May","2010","Sunday","18:00 to 20:59","Injury collisions",191,323,309,0
"May","2010","Sunday","21:00 to 23:59","Fatal collisions",3,4,2,4
"May","2010","Sunday","21:00 to 23:59","Injury collisions",121,200,192,0
"May","2010","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"May","2010","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"May","2010","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"May","2010","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"May","2010","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"May","2010","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"May","2010","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"May","2010","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"May","2010","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"May","2010","Unknown","12:00 to 14:59","Injury collisions",1,2,2,0
"May","2010","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"May","2010","Unknown","15:00 to 17:59","Injury collisions",0,0,0,0
"May","2010","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"May","2010","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"May","2010","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"May","2010","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"May","2011","Total","Midnight to 2:59","Fatal collisions",15,21,14,17
"May","2011","Total","Midnight to 2:59","Injury collisions",409,597,558,0
"May","2011","Total","3:00 to 5:59","Fatal collisions",10,11,7,13
"May","2011","Total","3:00 to 5:59","Injury collisions",308,421,383,0
"May","2011","Total","6:00 to 8:59","Fatal collisions",6,7,3,8
"May","2011","Total","6:00 to 8:59","Injury collisions",936,1739,1223,0
"May","2011","Total","9:00 to 11:59","Fatal collisions",12,15,14,13
"May","2011","Total","9:00 to 11:59","Injury collisions",1269,2360,1653,0
"May","2011","Total","12:00 to 14:59","Fatal collisions",12,21,8,14
"May","2011","Total","12:00 to 14:59","Injury collisions",1698,3177,2291,0
"May","2011","Total","15:00 to 17:59","Fatal collisions",40,73,40,47
"May","2011","Total","15:00 to 17:59","Injury collisions",2481,4788,3423,0
"May","2011","Total","18:00 to 20:59","Fatal collisions",19,28,11,19
"May","2011","Total","18:00 to 20:59","Injury collisions",1256,2215,1721,0
"May","2011","Total","21:00 to 23:59","Fatal collisions",12,16,6,12
"May","2011","Total","21:00 to 23:59","Injury collisions",816,1327,1168,0
"May","2011","Monday","Midnight to 2:59","Fatal collisions",1,2,0,1
"May","2011","Monday","Midnight to 2:59","Injury collisions",39,54,50,0
"May","2011","Monday","3:00 to 5:59","Fatal collisions",0,0,0,0
"May","2011","Monday","3:00 to 5:59","Injury collisions",30,46,34,0
"May","2011","Monday","6:00 to 8:59","Fatal collisions",0,0,0,0
"May","2011","Monday","6:00 to 8:59","Injury collisions",148,272,186,0
"May","2011","Monday","9:00 to 11:59","Fatal collisions",3,5,4,3
"May","2011","Monday","9:00 to 11:59","Injury collisions",185,352,238,0
"May","2011","Monday","12:00 to 14:59","Fatal collisions",0,0,0,0
"May","2011","Monday","12:00 to 14:59","Injury collisions",233,429,305,0
"May","2011","Monday","15:00 to 17:59","Fatal collisions",6,11,4,6
"May","2011","Monday","15:00 to 17:59","Injury collisions",367,678,483,0
"May","2011","Monday","18:00 to 20:59","Fatal collisions",1,2,1,1
"May","2011","Monday","18:00 to 20:59","Injury collisions",207,375,288,0
"May","2011","Monday","21:00 to 23:59","Fatal collisions",3,4,2,3
"May","2011","Monday","21:00 to 23:59","Injury collisions",97,161,129,0
"May","2011","Tuesday","Midnight to 2:59","Fatal collisions",1,1,1,1
"May","2011","Tuesday","Midnight to 2:59","Injury collisions",38,52,47,0
"May","2011","Tuesday","3:00 to 5:59","Fatal collisions",2,3,0,3
"May","2011","Tuesday","3:00 to 5:59","Injury collisions",26,38,32,0
"May","2011","Tuesday","6:00 to 8:59","Fatal collisions",1,1,0,1
"May","2011","Tuesday","6:00 to 8:59","Injury collisions",200,394,266,0
"May","2011","Tuesday","9:00 to 11:59","Fatal collisions",0,0,0,0
"May","2011","Tuesday","9:00 to 11:59","Injury collisions",216,416,273,0
"May","2011","Tuesday","12:00 to 14:59","Fatal collisions",2,4,3,2
"May","2011","Tuesday","12:00 to 14:59","Injury collisions",249,461,334,0
"May","2011","Tuesday","15:00 to 17:59","Fatal collisions",8,15,8,8
"May","2011","Tuesday","15:00 to 17:59","Injury collisions",467,917,644,0
"May","2011","Tuesday","18:00 to 20:59","Fatal collisions",4,6,3,4
"May","2011","Tuesday","18:00 to 20:59","Injury collisions",222,392,282,0
"May","2011","Tuesday","21:00 to 23:59","Fatal collisions",2,3,0,2
"May","2011","Tuesday","21:00 to 23:59","Injury collisions",121,206,169,0
"May","2011","Wednesday","Midnight to 2:59","Fatal collisions",0,0,0,0
"May","2011","Wednesday","Midnight to 2:59","Injury collisions",41,60,57,0
"May","2011","Wednesday","3:00 to 5:59","Fatal collisions",0,0,0,0
"May","2011","Wednesday","3:00 to 5:59","Injury collisions",20,29,24,0
"May","2011","Wednesday","6:00 to 8:59","Fatal collisions",0,0,0,0
"May","2011","Wednesday","6:00 to 8:59","Injury collisions",163,322,217,0
"May","2011","Wednesday","9:00 to 11:59","Fatal collisions",1,1,1,1
"May","2011","Wednesday","9:00 to 11:59","Injury collisions",155,283,195,0
"May","2011","Wednesday","12:00 to 14:59","Fatal collisions",2,3,2,2
"May","2011","Wednesday","12:00 to 14:59","Injury collisions",212,399,268,0
"May","2011","Wednesday","15:00 to 17:59","Fatal collisions",4,6,1,4
"May","2011","Wednesday","15:00 to 17:59","Injury collisions",362,721,492,0
"May","2011","Wednesday","18:00 to 20:59","Fatal collisions",1,1,0,1
"May","2011","Wednesday","18:00 to 20:59","Injury collisions",173,304,227,0
"May","2011","Wednesday","21:00 to 23:59","Fatal collisions",1,2,0,1
"May","2011","Wednesday","21:00 to 23:59","Injury collisions",100,168,144,0
"May","2011","Thursday","Midnight to 2:59","Fatal collisions",0,0,0,0
"May","2011","Thursday","Midnight to 2:59","Injury collisions",36,48,49,0
"May","2011","Thursday","3:00 to 5:59","Fatal collisions",0,0,0,0
"May","2011","Thursday","3:00 to 5:59","Injury collisions",36,50,42,0
"May","2011","Thursday","6:00 to 8:59","Fatal collisions",0,0,0,0
"May","2011","Thursday","6:00 to 8:59","Injury collisions",174,336,232,0
"May","2011","Thursday","9:00 to 11:59","Fatal collisions",2,2,1,2
"May","2011","Thursday","9:00 to 11:59","Injury collisions",179,332,227,0
"May","2011","Thursday","12:00 to 14:59","Fatal collisions",2,4,0,2
"May","2011","Thursday","12:00 to 14:59","Injury collisions",221,417,298,0
"May","2011","Thursday","15:00 to 17:59","Fatal collisions",5,10,4,10
"May","2011","Thursday","15:00 to 17:59","Injury collisions",375,724,494,0
"May","2011","Thursday","18:00 to 20:59","Fatal collisions",3,5,0,3
"May","2011","Thursday","18:00 to 20:59","Injury collisions",173,317,225,0
"May","2011","Thursday","21:00 to 23:59","Fatal collisions",0,0,0,0
"May","2011","Thursday","21:00 to 23:59","Injury collisions",93,151,127,0
"May","2011","Friday","Midnight to 2:59","Fatal collisions",1,1,0,1
"May","2011","Friday","Midnight to 2:59","Injury collisions",35,53,45,0
"May","2011","Friday","3:00 to 5:59","Fatal collisions",0,0,0,0
"May","2011","Friday","3:00 to 5:59","Injury collisions",43,64,55,0
"May","2011","Friday","6:00 to 8:59","Fatal collisions",0,0,0,0
"May","2011","Friday","6:00 to 8:59","Injury collisions",127,225,154,0
"May","2011","Friday","9:00 to 11:59","Fatal collisions",1,1,0,1
"May","2011","Friday","9:00 to 11:59","Injury collisions",184,345,244,0
"May","2011","Friday","12:00 to 14:59","Fatal collisions",2,4,1,2
"May","2011","Friday","12:00 to 14:59","Injury collisions",257,466,339,0
"May","2011","Friday","15:00 to 17:59","Fatal collisions",5,9,4,5
"May","2011","Friday","15:00 to 17:59","Injury collisions",359,715,488,0
"May","2011","Friday","18:00 to 20:59","Fatal collisions",3,5,1,3
"May","2011","Friday","18:00 to 20:59","Injury collisions",204,368,299,0
"May","2011","Friday","21:00 to 23:59","Fatal collisions",2,3,1,2
"May","2011","Friday","21:00 to 23:59","Injury collisions",166,260,257,0
"May","2011","Saturday","Midnight to 2:59","Fatal collisions",4,4,1,6
"May","2011","Saturday","Midnight to 2:59","Injury collisions",96,143,126,0
"May","2011","Saturday","3:00 to 5:59","Fatal collisions",5,5,5,5
"May","2011","Saturday","3:00 to 5:59","Injury collisions",60,73,73,0
