
,,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"Month","Year","Road Class I","Speed limit","Pedestrians",
"March","2012","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2012","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2012","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2012","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2012","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2012","Unknown","40 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2012","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2012","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2012","Unknown","50 km per hour","Collisions with 0 pedestrians",9,10,0
"March","2012","Unknown","50 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2012","Unknown","50 km per hour","Collisions with 2 pedestrians",1,2,0
"March","2012","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2012","Unknown","60 km per hour","Collisions with 0 pedestrians",4,4,0
"March","2012","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2012","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2012","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2012","Unknown","70 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2012","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2012","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2012","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2012","Unknown","80 km per hour","Collisions with 0 pedestrians",3,5,0
"March","2012","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2012","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2012","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2012","Unknown","90 km per hour","Collisions with 0 pedestrians",4,4,0
"March","2012","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2012","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2012","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2012","Unknown","100 km per hour","Collisions with 0 pedestrians",4,5,0
"March","2012","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2012","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2012","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2012","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2012","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2012","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2012","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2012","Unknown","Unknown","Collisions with 0 pedestrians",9,11,0
"March","2012","Unknown","Unknown","Collisions with 1 pedestrian",2,2,0
"March","2012","Unknown","Unknown","Collisions with 2 pedestrians",0,0,0
"March","2012","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",46,54,0
"March","2013","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",19,19,0
"March","2013","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",1,2,0
"March","2013","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Urban","40 km per hour","Collisions with 0 pedestrians",172,217,0
"March","2013","Urban","40 km per hour","Collisions with 1 pedestrian",59,59,0
"March","2013","Urban","40 km per hour","Collisions with 2 pedestrians",2,3,0
"March","2013","Urban","40 km per hour","Collisions with 3 or more pedestrians",1,2,1
"March","2013","Urban","50 km per hour","Collisions with 0 pedestrians",2587,3574,6
"March","2013","Urban","50 km per hour","Collisions with 1 pedestrian",395,406,2
"March","2013","Urban","50 km per hour","Collisions with 2 pedestrians",22,38,0
"March","2013","Urban","50 km per hour","Collisions with 3 or more pedestrians",5,11,0
"March","2013","Urban","60 km per hour","Collisions with 0 pedestrians",831,1218,4
"March","2013","Urban","60 km per hour","Collisions with 1 pedestrian",78,78,0
"March","2013","Urban","60 km per hour","Collisions with 2 pedestrians",2,3,0
"March","2013","Urban","60 km per hour","Collisions with 3 or more pedestrians",2,2,0
"March","2013","Urban","70 km per hour","Collisions with 0 pedestrians",191,269,3
"March","2013","Urban","70 km per hour","Collisions with 1 pedestrian",6,5,1
"March","2013","Urban","70 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2013","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Urban","80 km per hour","Collisions with 0 pedestrians",109,154,0
"March","2013","Urban","80 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Urban","90 km per hour","Collisions with 0 pedestrians",54,78,1
"March","2013","Urban","90 km per hour","Collisions with 1 pedestrian",2,2,0
"March","2013","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Urban","100 km per hour","Collisions with 0 pedestrians",71,95,2
"March","2013","Urban","100 km per hour","Collisions with 1 pedestrian",3,4,0
"March","2013","Urban","100 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Urban","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Urban","110 km per hour","Collisions with 0 pedestrians",5,7,0
"March","2013","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Urban","Unknown","Collisions with 0 pedestrians",343,450,0
"March","2013","Urban","Unknown","Collisions with 1 pedestrian",94,102,0
"March","2013","Urban","Unknown","Collisions with 2 pedestrians",4,4,0
"March","2013","Urban","Unknown","Collisions with 3 or more pedestrians",4,12,1
"March","2013","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",3,4,0
"March","2013","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",2,2,0
"March","2013","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Rural","40 km per hour","Collisions with 0 pedestrians",9,12,0
"March","2013","Rural","40 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2013","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Rural","50 km per hour","Collisions with 0 pedestrians",118,157,5
"March","2013","Rural","50 km per hour","Collisions with 1 pedestrian",9,9,0
"March","2013","Rural","50 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Rural","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Rural","60 km per hour","Collisions with 0 pedestrians",38,50,1
"March","2013","Rural","60 km per hour","Collisions with 1 pedestrian",2,4,0
"March","2013","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Rural","70 km per hour","Collisions with 0 pedestrians",202,307,4
"March","2013","Rural","70 km per hour","Collisions with 1 pedestrian",7,9,0
"March","2013","Rural","70 km per hour","Collisions with 2 pedestrians",1,2,0
"March","2013","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Rural","80 km per hour","Collisions with 0 pedestrians",539,756,17
"March","2013","Rural","80 km per hour","Collisions with 1 pedestrian",12,8,4
"March","2013","Rural","80 km per hour","Collisions with 2 pedestrians",3,3,2
"March","2013","Rural","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Rural","90 km per hour","Collisions with 0 pedestrians",360,516,11
"March","2013","Rural","90 km per hour","Collisions with 1 pedestrian",2,3,0
"March","2013","Rural","90 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Rural","100 km per hour","Collisions with 0 pedestrians",654,899,18
"March","2013","Rural","100 km per hour","Collisions with 1 pedestrian",6,8,1
"March","2013","Rural","100 km per hour","Collisions with 2 pedestrians",2,5,0
"March","2013","Rural","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Rural","110 km per hour","Collisions with 0 pedestrians",93,127,0
"March","2013","Rural","110 km per hour","Collisions with 1 pedestrian",3,3,1
"March","2013","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Rural","Unknown","Collisions with 0 pedestrians",87,116,1
"March","2013","Rural","Unknown","Collisions with 1 pedestrian",8,7,1
"March","2013","Rural","Unknown","Collisions with 2 pedestrians",4,6,0
"March","2013","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2013","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2013","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Unknown","50 km per hour","Collisions with 0 pedestrians",6,7,0
"March","2013","Unknown","50 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Unknown","60 km per hour","Collisions with 0 pedestrians",4,9,0
"March","2013","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Unknown","70 km per hour","Collisions with 0 pedestrians",3,3,0
"March","2013","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Unknown","80 km per hour","Collisions with 0 pedestrians",3,2,1
"March","2013","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Unknown","90 km per hour","Collisions with 0 pedestrians",2,6,0
"March","2013","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Unknown","100 km per hour","Collisions with 0 pedestrians",3,3,0
"March","2013","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2013","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2013","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2013","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2013","Unknown","Unknown","Collisions with 0 pedestrians",9,9,0
"March","2013","Unknown","Unknown","Collisions with 1 pedestrian",3,3,0
"March","2013","Unknown","Unknown","Collisions with 2 pedestrians",2,3,0
"March","2013","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",54,66,1
"March","2014","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",23,23,0
"March","2014","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",1,2,0
"March","2014","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",1,6,0
"March","2014","Urban","40 km per hour","Collisions with 0 pedestrians",128,154,1
"March","2014","Urban","40 km per hour","Collisions with 1 pedestrian",52,52,0
"March","2014","Urban","40 km per hour","Collisions with 2 pedestrians",2,4,0
"March","2014","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Urban","50 km per hour","Collisions with 0 pedestrians",2560,3549,5
"March","2014","Urban","50 km per hour","Collisions with 1 pedestrian",407,420,4
"March","2014","Urban","50 km per hour","Collisions with 2 pedestrians",30,48,0
"March","2014","Urban","50 km per hour","Collisions with 3 or more pedestrians",8,12,0
"March","2014","Urban","60 km per hour","Collisions with 0 pedestrians",787,1102,0
"March","2014","Urban","60 km per hour","Collisions with 1 pedestrian",55,56,1
"March","2014","Urban","60 km per hour","Collisions with 2 pedestrians",4,6,0
"March","2014","Urban","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Urban","70 km per hour","Collisions with 0 pedestrians",184,270,1
"March","2014","Urban","70 km per hour","Collisions with 1 pedestrian",2,2,0
"March","2014","Urban","70 km per hour","Collisions with 2 pedestrians",1,2,0
"March","2014","Urban","70 km per hour","Collisions with 3 or more pedestrians",1,1,0
"March","2014","Urban","80 km per hour","Collisions with 0 pedestrians",104,149,1
"March","2014","Urban","80 km per hour","Collisions with 1 pedestrian",2,2,0
"March","2014","Urban","80 km per hour","Collisions with 2 pedestrians",1,2,0
"March","2014","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Urban","90 km per hour","Collisions with 0 pedestrians",68,104,1
"March","2014","Urban","90 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Urban","90 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2014","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Urban","100 km per hour","Collisions with 0 pedestrians",78,102,0
"March","2014","Urban","100 km per hour","Collisions with 1 pedestrian",3,3,1
"March","2014","Urban","100 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Urban","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Urban","110 km per hour","Collisions with 0 pedestrians",9,12,0
"March","2014","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Urban","Unknown","Collisions with 0 pedestrians",362,472,0
"March","2014","Urban","Unknown","Collisions with 1 pedestrian",84,93,1
"March","2014","Urban","Unknown","Collisions with 2 pedestrians",9,14,0
"March","2014","Urban","Unknown","Collisions with 3 or more pedestrians",3,7,0
"March","2014","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",4,6,0
"March","2014","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2014","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Rural","40 km per hour","Collisions with 0 pedestrians",8,10,0
"March","2014","Rural","40 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2014","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Rural","50 km per hour","Collisions with 0 pedestrians",118,167,1
"March","2014","Rural","50 km per hour","Collisions with 1 pedestrian",5,6,0
"March","2014","Rural","50 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2014","Rural","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Rural","60 km per hour","Collisions with 0 pedestrians",46,69,0
"March","2014","Rural","60 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2014","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Rural","70 km per hour","Collisions with 0 pedestrians",174,247,2
"March","2014","Rural","70 km per hour","Collisions with 1 pedestrian",7,6,1
"March","2014","Rural","70 km per hour","Collisions with 2 pedestrians",1,2,0
"March","2014","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Rural","80 km per hour","Collisions with 0 pedestrians",543,819,14
"March","2014","Rural","80 km per hour","Collisions with 1 pedestrian",12,19,1
"March","2014","Rural","80 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2014","Rural","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Rural","90 km per hour","Collisions with 0 pedestrians",420,601,12
"March","2014","Rural","90 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2014","Rural","90 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Rural","100 km per hour","Collisions with 0 pedestrians",723,1023,16
"March","2014","Rural","100 km per hour","Collisions with 1 pedestrian",1,2,0
"March","2014","Rural","100 km per hour","Collisions with 2 pedestrians",1,2,1
"March","2014","Rural","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Rural","110 km per hour","Collisions with 0 pedestrians",57,73,2
"March","2014","Rural","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Rural","Unknown","Collisions with 0 pedestrians",77,96,1
"March","2014","Rural","Unknown","Collisions with 1 pedestrian",3,3,0
"March","2014","Rural","Unknown","Collisions with 2 pedestrians",0,0,0
"March","2014","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2014","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2014","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Unknown","50 km per hour","Collisions with 0 pedestrians",5,7,0
"March","2014","Unknown","50 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Unknown","60 km per hour","Collisions with 0 pedestrians",1,3,0
"March","2014","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Unknown","70 km per hour","Collisions with 0 pedestrians",2,4,0
"March","2014","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Unknown","80 km per hour","Collisions with 0 pedestrians",4,4,0
"March","2014","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Unknown","90 km per hour","Collisions with 0 pedestrians",3,4,0
"March","2014","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Unknown","100 km per hour","Collisions with 0 pedestrians",6,6,0
"March","2014","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2014","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2014","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2014","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2014","Unknown","Unknown","Collisions with 0 pedestrians",9,12,0
"March","2014","Unknown","Unknown","Collisions with 1 pedestrian",4,4,0
"March","2014","Unknown","Unknown","Collisions with 2 pedestrians",0,0,0
"March","2014","Unknown","Unknown","Collisions with 3 or more pedestrians",1,4,0
"March","2015","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",56,68,1
"March","2015","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",19,19,0
"March","2015","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2015","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Urban","40 km per hour","Collisions with 0 pedestrians",136,175,0
"March","2015","Urban","40 km per hour","Collisions with 1 pedestrian",52,50,2
"March","2015","Urban","40 km per hour","Collisions with 2 pedestrians",6,11,0
"March","2015","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Urban","50 km per hour","Collisions with 0 pedestrians",2566,3537,5
"March","2015","Urban","50 km per hour","Collisions with 1 pedestrian",415,422,4
"March","2015","Urban","50 km per hour","Collisions with 2 pedestrians",33,52,0
"March","2015","Urban","50 km per hour","Collisions with 3 or more pedestrians",7,13,0
"March","2015","Urban","60 km per hour","Collisions with 0 pedestrians",800,1153,0
"March","2015","Urban","60 km per hour","Collisions with 1 pedestrian",86,88,3
"March","2015","Urban","60 km per hour","Collisions with 2 pedestrians",8,15,1
"March","2015","Urban","60 km per hour","Collisions with 3 or more pedestrians",2,3,0
"March","2015","Urban","70 km per hour","Collisions with 0 pedestrians",203,268,1
"March","2015","Urban","70 km per hour","Collisions with 1 pedestrian",5,5,0
"March","2015","Urban","70 km per hour","Collisions with 2 pedestrians",1,3,0
"March","2015","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Urban","80 km per hour","Collisions with 0 pedestrians",92,128,0
"March","2015","Urban","80 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2015","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Urban","80 km per hour","Collisions with 3 or more pedestrians",1,1,0
"March","2015","Urban","90 km per hour","Collisions with 0 pedestrians",70,138,0
"March","2015","Urban","90 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Urban","100 km per hour","Collisions with 0 pedestrians",75,97,1
"March","2015","Urban","100 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2015","Urban","100 km per hour","Collisions with 2 pedestrians",3,9,0
"March","2015","Urban","100 km per hour","Collisions with 3 or more pedestrians",1,1,0
"March","2015","Urban","110 km per hour","Collisions with 0 pedestrians",6,9,0
"March","2015","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Urban","Unknown","Collisions with 0 pedestrians",359,458,0
"March","2015","Urban","Unknown","Collisions with 1 pedestrian",94,97,0
"March","2015","Urban","Unknown","Collisions with 2 pedestrians",5,7,0
"March","2015","Urban","Unknown","Collisions with 3 or more pedestrians",3,3,0
"March","2015","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",6,7,0
"March","2015","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",2,2,0
"March","2015","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Rural","40 km per hour","Collisions with 0 pedestrians",11,17,0
"March","2015","Rural","40 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2015","Rural","40 km per hour","Collisions with 2 pedestrians",2,4,0
"March","2015","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Rural","50 km per hour","Collisions with 0 pedestrians",121,173,4
"March","2015","Rural","50 km per hour","Collisions with 1 pedestrian",4,4,0
"March","2015","Rural","50 km per hour","Collisions with 2 pedestrians",3,3,0
"March","2015","Rural","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Rural","60 km per hour","Collisions with 0 pedestrians",54,80,1
"March","2015","Rural","60 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Rural","70 km per hour","Collisions with 0 pedestrians",196,289,1
"March","2015","Rural","70 km per hour","Collisions with 1 pedestrian",9,6,3
"March","2015","Rural","70 km per hour","Collisions with 2 pedestrians",1,2,0
"March","2015","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Rural","80 km per hour","Collisions with 0 pedestrians",463,704,8
"March","2015","Rural","80 km per hour","Collisions with 1 pedestrian",13,12,1
"March","2015","Rural","80 km per hour","Collisions with 2 pedestrians",3,3,0
"March","2015","Rural","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Rural","90 km per hour","Collisions with 0 pedestrians",370,553,8
"March","2015","Rural","90 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Rural","90 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2015","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Rural","100 km per hour","Collisions with 0 pedestrians",561,814,6
"March","2015","Rural","100 km per hour","Collisions with 1 pedestrian",5,6,1
"March","2015","Rural","100 km per hour","Collisions with 2 pedestrians",5,8,1
"March","2015","Rural","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Rural","110 km per hour","Collisions with 0 pedestrians",45,63,4
"March","2015","Rural","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Rural","Unknown","Collisions with 0 pedestrians",77,108,2
"March","2015","Rural","Unknown","Collisions with 1 pedestrian",5,3,2
"March","2015","Rural","Unknown","Collisions with 2 pedestrians",2,3,0
"March","2015","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2015","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2015","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2015","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
