
,,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"Month","Year","Road Class I","Speed limit","Pedestrians",
"January","2010","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"January","2010","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2010","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Unknown","50 km per hour","Collisions with 0 pedestrians",20,26,0
"January","2010","Unknown","50 km per hour","Collisions with 1 pedestrian",6,6,0
"January","2010","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Unknown","60 km per hour","Collisions with 0 pedestrians",2,3,0
"January","2010","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2010","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Unknown","70 km per hour","Collisions with 0 pedestrians",4,4,0
"January","2010","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2010","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Unknown","80 km per hour","Collisions with 0 pedestrians",3,5,0
"January","2010","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2010","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Unknown","90 km per hour","Collisions with 0 pedestrians",12,13,0
"January","2010","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2010","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Unknown","100 km per hour","Collisions with 0 pedestrians",5,5,0
"January","2010","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
